보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
대화동009,1,대전광역시 대덕구 대화1길 96,,36.36394429,127.4161616,,,042-608-5205,대전광역시 대덕구청,2025-11-13
대화동098-1,1,,대전광역시 대덕구 대화동 31-32,,,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동022,1,대전광역시 대덕구 대덕대로1486번길 137,,36.44603385,127.4118346,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동023,1,대전광역시 대덕구 대덕대로1470번길 61,,36.44628226,127.4119252,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동024,1,대전광역시 대덕구 대덕대로1486번길 117,대전광역시 대덕구 목상동 870,36.44563926,127.4123233,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동025,1,대전광역시 대덕구 대덕대로1470번길 55,,36.44685829,127.4142126,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동026,1,대전광역시 대덕구 대덕대로1470번길 55,,36.44685829,127.4142126,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동027,1,대전광역시 대덕구 대덕대로1470번길 60,,36.4465382,127.4119221,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동028,1,대전광역시 대덕구 대덕대로1470번길59,,36.44627824,127.4120456,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동029,1,대전광역시 대덕구 대덕대로1470번길 85,,36.44565814,127.4110296,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동030,1,대전광역시 대덕구 대덕대로1454번길 68,,36.44518772,127.4105095,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동031,1,대전광역시 대덕구 대덕대로1454번길 62,,36.44542947,127.4104394,,,042-608-5205,대전광역시 대덕구청,2025-11-13
대화동098-2,1,,대전광역시 대덕구 대화동 31-35,,,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동032,1,대전광역시 대덕구 대덕대로1454번길 50,,36.44588731,127.410424,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동033,1,대전광역시 대덕구 대덕대로1454번길 39,대전광역시 대덕구 목상동 174,36.44640185,127.4106944,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동034,1,대전광역시 대덕구 대덕대로1454번길 39,대전광역시 대덕구 목상동 174,36.44640185,127.4106944,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동035,1,대전광역시 대덕구 대덕대로1454번길 39,대전광역시 대덕구 목상동 174,36.44640185,127.4106944,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동036,1,대전광역시 대덕구 대덕대로1454번길 39,대전광역시 대덕구 목상동 174,36.44640185,127.4106944,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동037,1,대전광역시 대덕구 대덕대로1454번길 39,대전광역시 대덕구 목상동 174,36.44640185,127.4106944,,,042-608-5205,대전광역시 대덕구청,2025-11-13
목상동038,1,대전광역시 대덕구 대덕대로1458번길 70,,36.44667355,127.4113472,,,042-608-5205,대전광역시 대덕구청,2025-11-13
