보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가양동001,1,,대전광역시 동구 가양동 360-36,36.33623621,127.4423925,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동002,1,,대전광역시 동구 가양동 302-74,36.33637151,127.4420916,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동003,1,,대전광역시 동구 가양동 561-19,36.33780199,127.4392692,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동004,1,,대전광역시 동구 가양동 359-6,36.33690921,127.4423189,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동005,1,,대전광역시 동구 가양동 359-5,36.33714229,127.4426005,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동006,1,,대전광역시 동구 가양동 359-24,36.33721603,127.4427175,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동007,1,,대전광역시 동구 가양동 359-11,36.33745644,127.4429677,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동008,1,,대전광역시 동구 가양동 357-10,36.33753302,127.443311,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동010,1,,대전광역시 동구 가양동 571-13,36.33787913,127.4423478,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동011,1,,대전광역시 동구 가양동 572-17,36.33815181,127.4419626,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동012,1,,대전광역시 동구 가양동 358-2,36.338162325,127.443672085,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동014,1,,대전광역시 동구 가양동 355-7,36.33841252,127.4438576,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동015,1,,대전광역시 동구 가양동 356-1,36.33872236,127.4445562,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동016,1,,대전광역시 동구 가양동 355-25,36.33856877,127.4438128,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동017,1,,대전광역시 동구 가양동 355-4,36.338701066,127.443594385,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동018,1,,대전광역시 동구 가양동 355-2,36.33887586,127.4433354,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동019,1,,대전광역시 동구 가양동 353-26,36.33908507,127.4431049,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동020,1,,대전광역시 동구 가양동 353-17,36.33932338,127.4432162,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동021,1,,대전광역시 동구 가양동 355-20,36.33861936,127.4433185,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동022,1,,대전광역시 동구 가양동 355-17,36.33851803,127.4435242,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동023,1,,대전광역시 동구 가양동 570-6,36.33815896,127.4428059,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동024,1,,대전광역시 동구 가양동 358-29,36.33797536,127.4429839,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동025,1,,대전광역시 동구 가양동 571-11,36.33764668,127.4424071,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동026,1,,대전광역시 동구 가양동 359-16,36.33715306,127.4422728,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동027,1,,대전광역시 동구 가양동 359-6,36.33690921,127.4423189,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동028,1,,대전광역시 동구 가양동 429-10,36.34829791,127.4429448,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동029,1,,대전광역시 동구 가양동 358-24,36.33777172,127.4429292,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동030,1,,대전광역시 동구 가양동 570-19,36.33798918,127.4425859,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동031,1,,대전광역시 동구 가양동 571-1,36.33794488,127.4422608,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동032,1,,대전광역시 동구 가양동 162-12,36.34730175,127.4509192,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
가양동032-2,1,,대전광역시 동구 가양동 561-19,36.33780199,127.4392692,,한전주,042-271-4871,대전광역시 동구청,2023-12-01
