보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가수원동001,1,대전광역시 서구 계백로1158번길 3,대전광역시 서구 가수원동 763-2,36.30449225,127.3521601,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동002,1,대전광역시 서구 계백로1158번길 11,대전광역시 서구 가수원동 765-10,36.30415821,127.3522731,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동003,1,대전광역시 서구 벌곡로1379번길 21,대전광역시 서구 가수원동 768-1,36.3039698,127.3523567,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동004,1,대전광역시 서구 벌곡로1379번길 16,대전광역시 서구 가수원동 765-8,36.304254,127.3526027,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동005,1,대전광역시 서구 계백로 1166-18,대전광역시 서구 가수원동 767-2,36.304173,127.3529401,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동006,1,대전광역시 서구 벌곡로1379번길 5,대전광역시 서구 가수원동 766-1,36.304150,127.3531828,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동007,1,대전광역시 서구 벌곡로1379번길 6,대전광역시 서구 가수원동 764-7,36.304352,127.3531191,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동008,1,대전광역시 서구 계백로 1166-7,대전광역시 서구 가수원동 764-10,36.30461669,127.3530215,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동009,1,대전광역시 서구 계백로 1166-3,대전광역시 서구 가수원동 764-11,36.304738,127.3529606,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동010,1,대전광역시 서구 계백로1158번길 7-11,대전광역시 서구 가수원동 763-5,36.30460827,127.3526086,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동011,1,대전광역시 서구 계백로1158번길 7-5,대전광역시 서구 가수원동 763-3,36.30453279,127.3523193,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동012,1,대전광역시 서구 벌곡로1379번길 33,대전광역시 서구 가수원동 769-1,36.30380426,127.3516802,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동013,1,대전광역시 서구 계백로1158번길 19,대전광역시 서구 가수원동 768-16,36.30385263,127.352303,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동014,1,대전광역시 서구 계백로1158번길 21,대전광역시 서구 가수원동 768-15,36.30374662,127.352434,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동015,1,대전광역시 서구 계백로1158번길 23,대전광역시 서구 가수원동 768-14,36.30363604,127.352410,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동016,1,대전광역시 서구 계백로1158번길 29,대전광역시 서구 가수원동 768-12,36.30341973,127.3525369,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동017,1,대전광역시 서구 계백로1158번길 31,대전광역시 서구 가수원동 768-11,36.30330847,127.352523,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동018,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 732-7,36.30239371,127.3530021,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동019,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 732-6,36.30239371,127.3530021,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동020,1,,대전광역시 서구 가수원동 167-11,36.303449,127.352911,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동021,1,,대전광역시 서구 가수원동 767-6,36.30379661,127.352850,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동022,1,,대전광역시 서구 가수원동 767-6,36.30379661,127.3528597,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동023,1,대전광역시 서구 계백로 1166-19,대전광역시 서구 가수원동 766-16,36.3040543,127.3532209,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동024,1,대전광역시 서구 계백로 1166-27,대전광역시 서구 가수원동 766-13,36.303786,127.3533572,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동025,1,대전광역시 서구 계백로 1166-29,대전광역시 서구 가수원동 766-12,36.30362626,127.3533681,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동026,1,대전광역시 서구 계백로 1166-34,대전광역시 서구 가수원동 767-9,36.30334393,127.3532114,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동027,1,대전광역시 서구 벌곡로 1369-4,대전광역시 서구 가수원동 766-9,36.30346695,127.353681,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동028,1,대전광역시 서구 벌곡로 1369-22,대전광역시 서구 가수원동 768-10,36.3031985,127.3526249,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동029,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 459,36.30239371,127.3530021,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동030,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 459,36.30239371,127.3530021,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동031,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 459,36.30239371,127.3530021,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동032,1,대전광역시 서구 가수원동 벌곡로 1359,대전광역시 서구 가수원동 459,36.30239371,127.353007,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동033,1,대전광역시 서구 계백로1158번길 69,대전광역시 서구 가수원동 772-1,36.30173494,127.3531254,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동034,1,대전광역시 서구 벌곡로1349번길 22,대전광역시 서구 가수원동 772-12,36.30160822,127.353197,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동035,1,대전광역시 서구 계백로1158번길 79,대전광역시 서구 가수원동 790-4,36.301357,127.3534629,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동036,1,대전광역시 서구 계백로1158번길 83,대전광역시 서구 가수원동 790-5,36.30123509,127.3536002,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동037,1,대전광역시 서구 계백로1158번길 87-2,대전광역시 서구 가수원동 791-11,36.300966,127.3538115,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동038,1,대전광역시 서구 가수원동 계백로1158번길 113,대전광역시 서구 가수원동 825,36.29985892,127.3547423,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동039,1,대전광역시 서구 계백로1158번길 87-4,대전광역시 서구 가수원동 791-12,36.30103999,127.3539344,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동040,1,,대전광역시 서구 가수원동 790-3,36.301365,127.353581,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동041,1,대전광역시 서구 벌곡로1349번길 16,대전광역시 서구 가수원동 772-9,36.30172311,127.353565,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동042,1,대전광역시 서구 벌곡로1341번길 8-16,대전광역시 서구 가수원동 792-1,36.301668,127.3541391,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동043,1,대전광역시 서구 벌곡로1341번길 8-8,대전광역시 서구 가수원동 792-10,36.30129536,127.3542765,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동044,1,대전광역시 서구 계백로1158번길 113,대전광역시 서구 가수원동 793-1,36.30033093,127.3550331,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동045,1,대전광역시 서구 가수원동 계백로1158번길 102,대전광역시 서구 가수원동 825,36.29985892,127.3547423,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동046,1,대전광역시 서구 계백로1158번길 110,대전광역시 서구 가수원동 794-6,36.30018291,127.3542566,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동047,1,대전광역시 서구 계백로1158번길 116,대전광역시 서구 가수원동 794-9,36.29995634,127.3545038,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동048,1,대전광역시 서구 계백로1158번길 122,대전광역시 서구 가수원동 794-12,36.299798,127.3547109,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동049,1,대전광역시 서구 계백로1158번길 128,대전광역시 서구 가수원동 794-14,36.299554,127.3548488,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동050,1,대전광역시 서구 벌곡로 1321-6,대전광역시 서구 가수원동 793-3,36.29945237,127.3553654,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동051,1,대전광역시 서구 가수원중로 4-30,대전광역시 서구 가수원동 806-1,36.299209,127.3549214,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동052,1,대전광역시 서구 가수원중로 4-24,대전광역시 서구 가수원동 806-4,36.298839,127.3550158,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동053,1,대전광역시 서구 가수원로 6,대전광역시 서구 가수원동 808,36.29857822,127.3556995,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동054,1,대전광역시 서구 가수원로 6,대전광역시 서구 가수원동 808,36.29857822,127.3556995,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동055,1,대전광역시 서구 가수원로7번길 2,대전광역시 서구 가수원동 810-8,36.29747118,127.3554044,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동056,1,,대전광역시 서구 가수원동 798-6,36.299149,127.3538978,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동057,1,대전광역시 서구 가수원중로 6,대전광역시 서구 가수원동 807-1,36.29901988,127.354129,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동058,1,대전광역시 서구 가수원중로 4-10,대전광역시 서구 가수원동 806-11,36.29863419,127.3542092,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동059,1,대전광역시 서구 가수원중로 4-16,대전광역시 서구 가수원동 806-8,36.29871201,127.3545867,2016,한전주,042-288-3950,대전광역시 서구청,2025-06-26
가수원동060,1,대전광역시 서구 가수원중로 4-26,대전광역시 서구 가수원동 806-3,36.29898073,127.3549868,2016,전용주,042-288-3950,대전광역시 서구청,2025-06-26
