보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
갑동001,1,대전광역시 유성구 현충원로 197,대전광역시 유성구 갑동 433-46,36.3606233,127.2929532,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동002,1,대전광역시 유성구 현충원로 213,대전광역시 유성구 갑동 433-53,36.3603899,127.294563,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동003,1,대전광역시 유성구 현충원로 213,대전광역시 유성구 갑동 433-53,36.3603899,127.294563,2020,전용주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동004,1,대전광역시 유성구 현충원로 213,대전광역시 유성구 갑동 433-53,36.3603899,127.294563,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동005,1,대전광역시 유성구 현충원로 203,대전광역시 유성구 갑동 391-5,36.3605922,127.2938609,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동006,1,대전광역시 유성구 갑동로8번길 75,대전광역시 유성구 갑동 389-15,36.36124714,127.2933764,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동007,1,대전광역시 유성구 갑동로8번길 65,대전광역시 유성구 갑동 389-6,36.3611453,127.2928821,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동008,1,대전광역시 유성구 갑동로8번길 49,대전광역시 유성구 갑동 388-3,36.36143596,127.2923688,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동009,1,대전광역시 유성구 갑동로 32,대전광역시 유성구 갑동 388-42,36.3615111,127.290766,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동010,1,,대전광역시 유성구 갑동 433-12,36.36143018,127.2904446,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동011,1,대전광역시 유성구 갑동로 20,대전광역시 유성구 갑동 388-55,36.3616213,127.2896126,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동012,1,대전광역시 유성구 갑동로 21-11,대전광역시 유성구 갑동 387-90,36.3621352,127.2896238,2020,건축물,042-611-2506,대전광역시 유성구청,2025-07-16
갑동013,1,대전광역시 유성구 갑동로 14,대전광역시 유성구 갑동 388-9,36.3616105,127.2893255,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동014,1,대전광역시 유성구 갑동로 15-11,대전광역시 유성구 갑동 327-9,36.36247115,127.2891202,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동015,1,대전광역시 유성구 갑동로15번길 2-9,대전광역시 유성구 갑동 401-5,36.3618350215,127.2886550911,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동016,1,대전광역시 유성구 갑동로15번길 22,대전광역시 유성구 갑동 401-3,36.36174641,127.2878117,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
갑동017,1,대전광역시 유성구 갑동로15번길 31,대전광역시 유성구 갑동 400-7,36.3614547,127.2873457,2020,한전주,042-611-2506,대전광역시 유성구청,2025-07-16
