보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
구완동001,1,,대전광역시 중구 구완동239,36.27720642,127.4183426,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동002,1,,대전광역시 중구 구완동180-3,36.27754211,127.4216309,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동003,1,대전광역시 중구 운남로252-190,대전광역시 중구 구완동15-3,36.27166748,127.4285736,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동004,1,,대전광역시 중구 구완동209,36.27930832,127.4245605,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동005,1,,대전광역시 중구 구완동209,36.27946472,127.4249496,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동006,1,,대전광역시 중구 구완동226,36.28126907,127.4280701,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동007,1,대전광역시 중구 운남로356,대전광역시 중구 구완동71,36.28324127,127.4281158,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동008,1,대전광역시 중구 운남로363,대전광역시 중구 구완동산 22,36.28353882,127.4274521,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동009,1,대전광역시 중구 운남로359-8,대전광역시 중구 구완동78-3,36.28311157,127.427597,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동010,1,대전광역시 중구 운남로359-21,대전광역시 중구 구완동78-4,36.28293228,127.4268188,,전용주,042-606-6843,대전광역시 중구청,2022-09-16
구완동011,1,,대전광역시 중구 구완동71,36.28292847,127.428215,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동012,1,대전광역시 중구 운남로293번길73,대전광역시 중구 구완동133-3,36.28203201,127.4230728,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동013,1,대전광역시 중구 운남로293번길70-7,대전광역시 중구 구완동130,36.28233719,127.4233093,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동014,1,대전광역시 중구 운남로293번길70-5,대전광역시 중구 구완동128,36.28261566,127.4229889,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동015,1,대전광역시 중구 운남로293번길70-32,대전광역시 중구 구완동100,36.28329086,127.4225693,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동016,1,대전광역시 중구 운남로293번길73,대전광역시 중구 구완동133-7,36.28203964,127.4228516,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동017,1,대전광역시 중구 운남로293번길84,대전광역시 중구 구완동217,36.28231812,127.4224319,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동018,1,대전광역시 중구 운남로293번길94,대전광역시 중구 구완동119-2,36.28236389,127.4217758,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동019,1,대전광역시 중구 운남로293번길81-8,대전광역시 중구 구완동124-1,36.2820282,127.4223022,,전용주,042-606-6843,대전광역시 중구청,2022-09-16
구완동020,1,대전광역시 중구 운남로293번길81-18,대전광역시 중구 구완동121,36.28186798,127.4216385,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동021,1,대전광역시 중구 운남로293번길81-15,대전광역시 중구 구완동139,36.28154755,127.4219666,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동022,1,,대전광역시 중구 구완동산 26-1,36.27269098,127.428402,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동023,1,,대전광역시 중구 구완동39-1,36.28053129,127.423976,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동024,1,,대전광역시 중구 구완동49-4,36.27997626,127.4261017,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동025,1,,대전광역시 중구 구완동36-1,36.27999014,127.4240983,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
구완동026,1,,대전광역시 중구 구완동106,36.28392915,127.4232264,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동001,1,,대전광역시 중구 금동568,36.2463913,127.4162521,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동002,1,대전광역시 중구 산서로870,대전광역시 중구 금동산 2-2,36.2453537,127.4193344,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동003,1,,대전광역시 중구 금동548,36.24465179,127.4219818,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동004,1,,대전광역시 중구 금동531-2,36.24383926,127.4218216,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동005,1,대전광역시 중구 당골길 46,대전광역시 중구 금동510-3,36.24301529,127.4218369,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동006,1,,대전광역시 중구 금동519,36.24224091,127.4219284,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동007,1,대전광역시 중구 당골길74,대전광역시 중구 금동490,36.24164581,127.4219513,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동008,1,,대전광역시 중구 금동487,36.24101257,127.421936,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동009,1,,대전광역시 중구 금동40,36.23959732,127.4203568,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동010,1,,대전광역시 중구 금동40,36.2393837,127.419899,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동011,1,,대전광역시 중구 금동40,36.23907852,127.4196167,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동012,1,,대전광역시 중구 금동40,36.2387352,127.4193115,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동013,1,대전광역시 중구 당골길189,대전광역시 중구 금동447,36.23768997,127.4182816,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동014,1,,대전광역시 중구 금동445-9,36.2371521,127.4179916,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동015,1,,대전광역시 중구 금동445-9,36.23697281,127.4181366,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동016,1,대전광역시 중구 당골길207-17,대전광역시 중구 금동440-6,36.23670578,127.4189529,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동017,1,,대전광역시 중구 금동117-1,36.24502945,127.424408,,전용주,042-606-6843,대전광역시 중구청,2022-09-16
금동018,1,대전광역시 중구 금동길45,대전광역시 중구 금동190-1,36.24422073,127.4260483,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동019,1,대전광역시 중구 금동길79,대전광역시 중구 금동205,36.24331665,127.4277954,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동020,1,대전광역시 중구 금동길62-9,대전광역시 중구 금동307-1,36.24323273,127.4269485,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동021,1,대전광역시 중구 금동길59,대전광역시 중구 금동194-2,36.24374771,127.4269562,,전용주,042-606-6843,대전광역시 중구청,2022-09-16
금동022,1,대전광역시 중구 금동길54-4,대전광역시 중구 금동194,36.24385834,127.4267044,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동023,1,대전광역시 중구 금동길51-4,대전광역시 중구 금동51-4,36.24419785,127.4265671,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동024,1,대전광역시 중구 금동길51-18,대전광역시 중구 금동177-2,36.24496078,127.4263611,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동025,1,대전광역시 중구 산서로852-10,대전광역시 중구 금동160,36.24530792,127.4279785,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동026,1,대전광역시 중구 산서로952,대전광역시 중구 금동166,36.2457428,127.4281616,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동027,1,대전광역시 중구 산서로958-9,대전광역시 중구 금동162-1,36.24564362,127.4289627,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동028,1,대전광역시 중구 산서로964-5,대전광역시 중구 금동218,36.2461853,127.4294662,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동029,1,대전광역시 중구 산서로984,대전광역시 중구 금동61,36.24746704,127.4312592,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동030,1,대전광역시 중구 산서로959,대전광역시 중구 금동150,36.24603736,127.4286849,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동031,1,대전광역시 중구 산서로955,대전광역시 중구 금동149,36.24587236,127.4282056,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동032,1,대전광역시 중구 산서로953-1,대전광역시 중구 금동144,36.2461319,127.428009,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동033,1,대전광역시 중구 산서로947,대전광역시 중구 금동142-1,36.24567795,127.4275818,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동034,1,대전광역시 중구 산서로941,대전광역시 중구 금동140,36.24571228,127.4269943,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동035,1,대전광역시 중구 산서로937,대전광역시 중구 금동138-1,36.24571609,127.4264374,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동036,1,대전광역시 중구 산서로935-9,대전광역시 중구 금동132,36.24603271,127.4262009,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동037,1,대전광역시 중구 산서로931,대전광역시 중구 금동126,36.24566269,127.4259491,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동038,1,,대전광역시 중구 금동119-2,36.24557114,127.4253082,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
금동039,1,,대전광역시 중구 금동542,36.24494171,127.4220505,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동001,1,대전광역시 중구 보문로162길97,대전광역시 중구 대사동58-28,36.31960678,127.4305344,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동002,1,대전광역시 중구 보문로162길94,대전광역시 중구 대사동64-10,36.31945419,127.4304276,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동003,1,대전광역시 중구 보문로162길89,대전광역시 중구 대사동61-25,36.31945038,127.4301224,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동004,1,대전광역시 중구 보문로162길82,대전광역시 중구 대사동62-9,36.31922913,127.4298325,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동005,1,대전광역시 중구 보문로162길72,대전광역시 중구 대사동911-4,36.31921387,127.4294739,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동006,1,대전광역시 중구 보문로162길66,대전광역시 중구 대사동62-11,36.31899261,127.4291611,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동007,1,대전광역시 중구 보문로162길61,대전광역시 중구 대사동911-12,36.31903076,127.4289703,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동008,1,대전광역시 중구 보문로162길60,대전광역시 중구 대사동70-6,36.31887817,127.4288864,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동009,1,대전광역시 중구 보문로162길50,대전광역시 중구 대사동71-8,36.31872177,127.4284592,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동010,1,대전광역시 중구 보문로162길47,대전광역시 중구 대사동378-25,36.31876755,127.4282761,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동011,1,대전광역시 중구 보문로162길48,대전광역시 중구 대사동71-6,36.31858444,127.4281006,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동012,1,대전광역시 중구 보문로162길43-1,대전광역시 중구 대사동378-30,36.31864548,127.4279709,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
대사동013,1,대전광역시 중구 보문로162길38,대전광역시 중구 대사동77-40,36.31840897,127.4276505,,한전주,042-606-6843,대전광역시 중구청,2022-09-16
